name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
FI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
