name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
AL1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AL15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PL10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
L'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
