name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
PC'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
F'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
