name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
FL'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
FL'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
PL'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	499.999307480184	n/a
