name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
MF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SM'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AF'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
