name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
SMA'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
ACI'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SMA6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
