name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
MP1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
SP14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
IP10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
