name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
MP'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MP'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PO'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
O'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
