name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
C10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
CI12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
S16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
