name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
A'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FC'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'17	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MF'18	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
