name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
PT'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PT'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
TI'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
P'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
