name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
AC1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
AC12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
MC16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
